file_name,path,well,plate,Date,time,RFU,population
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,B02,NA,2018-10-10T00:00:00Z,11:36:23,548,1
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,C02,NA,2018-10-10T00:00:00Z,11:36:23,368,3
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,D02,NA,2018-10-10T00:00:00Z,11:36:23,943,6
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,E02,NA,2018-10-10T00:00:00Z,11:36:23,864,8
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,F02,NA,2018-10-10T00:00:00Z,11:36:23,668,11
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,G02,NA,2018-10-10T00:00:00Z,11:36:23,531,13
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,B02,NA,2018-10-10T00:00:00Z,16:08:12,144,1
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,C02,NA,2018-10-10T00:00:00Z,16:08:12,25,3
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,D02,NA,2018-10-10T00:00:00Z,16:08:12,183,6
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,E02,NA,2018-10-10T00:00:00Z,16:08:12,176,8
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,F02,NA,2018-10-10T00:00:00Z,16:08:12,98,11
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,G02,NA,2018-10-10T00:00:00Z,16:08:12,28,13
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,B03,NA,2018-10-10T00:00:00Z,11:36:23,570,1
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,C03,NA,2018-10-10T00:00:00Z,11:36:23,340,3
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,D03,NA,2018-10-10T00:00:00Z,11:36:23,802,6
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,E03,NA,2018-10-10T00:00:00Z,11:36:23,791,8
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,F03,NA,2018-10-10T00:00:00Z,11:36:23,585,11
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,G03,NA,2018-10-10T00:00:00Z,11:36:23,540,13
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,B03,NA,2018-10-10T00:00:00Z,16:08:12,74,1
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,C03,NA,2018-10-10T00:00:00Z,16:08:12,29,3
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,D03,NA,2018-10-10T00:00:00Z,16:08:12,190,6
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,E03,NA,2018-10-10T00:00:00Z,16:08:12,155,8
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,F03,NA,2018-10-10T00:00:00Z,16:08:12,21,11
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,G03,NA,2018-10-10T00:00:00Z,16:08:12,23,13
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,B04,NA,2018-10-10T00:00:00Z,11:36:23,557,1
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,C04,NA,2018-10-10T00:00:00Z,11:36:23,706,4
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,D04,NA,2018-10-10T00:00:00Z,11:36:23,876,6
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,E04,NA,2018-10-10T00:00:00Z,11:36:23,163,9
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,F04,NA,2018-10-10T00:00:00Z,11:36:23,629,11
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,G04,NA,2018-10-10T00:00:00Z,11:36:23,319,14
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,B04,NA,2018-10-10T00:00:00Z,16:08:12,73,1
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,C04,NA,2018-10-10T00:00:00Z,16:08:12,96,4
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,D04,NA,2018-10-10T00:00:00Z,16:08:12,196,6
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,E04,NA,2018-10-10T00:00:00Z,16:08:12,70,9
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,F04,NA,2018-10-10T00:00:00Z,16:08:12,21,11
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,G04,NA,2018-10-10T00:00:00Z,16:08:12,51,14
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,B05,NA,2018-10-10T00:00:00Z,11:36:23,462,1
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,C05,NA,2018-10-10T00:00:00Z,11:36:23,597,4
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,D05,NA,2018-10-10T00:00:00Z,11:36:23,837,6
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,E05,NA,2018-10-10T00:00:00Z,11:36:23,149,9
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,F05,NA,2018-10-10T00:00:00Z,11:36:23,595,11
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,G05,NA,2018-10-10T00:00:00Z,11:36:23,281,14
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,B05,NA,2018-10-10T00:00:00Z,16:08:12,71,1
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,C05,NA,2018-10-10T00:00:00Z,16:08:12,100,4
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,D05,NA,2018-10-10T00:00:00Z,16:08:12,185,6
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,E05,NA,2018-10-10T00:00:00Z,16:08:12,61,9
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,F05,NA,2018-10-10T00:00:00Z,16:08:12,20,11
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,G05,NA,2018-10-10T00:00:00Z,16:08:12,59,14
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,B06,NA,2018-10-10T00:00:00Z,11:36:23,215,2
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,C06,NA,2018-10-10T00:00:00Z,11:36:23,624,4
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,D06,NA,2018-10-10T00:00:00Z,11:36:23,352,7
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,E06,NA,2018-10-10T00:00:00Z,11:36:23,153,9
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,F06,NA,2018-10-10T00:00:00Z,11:36:23,948,12
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,G06,NA,2018-10-10T00:00:00Z,11:36:23,298,14
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,B06,NA,2018-10-10T00:00:00Z,16:08:12,11,2
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,C06,NA,2018-10-10T00:00:00Z,16:08:12,89,4
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,D06,NA,2018-10-10T00:00:00Z,16:08:12,60,7
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,E06,NA,2018-10-10T00:00:00Z,16:08:12,66,9
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,F06,NA,2018-10-10T00:00:00Z,16:08:12,172,12
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,G06,NA,2018-10-10T00:00:00Z,16:08:12,55,14
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,B07,NA,2018-10-10T00:00:00Z,11:36:23,243,2
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,C07,NA,2018-10-10T00:00:00Z,11:36:23,582,4
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,D07,NA,2018-10-10T00:00:00Z,11:36:23,334,7
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,E07,NA,2018-10-10T00:00:00Z,11:36:23,145,9
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,F07,NA,2018-10-10T00:00:00Z,11:36:23,814,12
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,G07,NA,2018-10-10T00:00:00Z,11:36:23,266,14
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,B07,NA,2018-10-10T00:00:00Z,16:08:12,10,2
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,C07,NA,2018-10-10T00:00:00Z,16:08:12,97,4
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,D07,NA,2018-10-10T00:00:00Z,16:08:12,58,7
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,E07,NA,2018-10-10T00:00:00Z,16:08:12,60,9
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,F07,NA,2018-10-10T00:00:00Z,16:08:12,183,12
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,G07,NA,2018-10-10T00:00:00Z,16:08:12,50,14
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,B08,NA,2018-10-10T00:00:00Z,11:36:23,174,2
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,C08,NA,2018-10-10T00:00:00Z,11:36:23,868,5
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,D08,NA,2018-10-10T00:00:00Z,11:36:23,317,7
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,E08,NA,2018-10-10T00:00:00Z,11:36:23,749,10
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,F08,NA,2018-10-10T00:00:00Z,11:36:23,837,12
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,G08,NA,2018-10-10T00:00:00Z,11:36:23,168,15
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,B08,NA,2018-10-10T00:00:00Z,16:08:12,11,2
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,C08,NA,2018-10-10T00:00:00Z,16:08:12,168,5
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,D08,NA,2018-10-10T00:00:00Z,16:08:12,60,7
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,E08,NA,2018-10-10T00:00:00Z,16:08:12,128,10
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,F08,NA,2018-10-10T00:00:00Z,16:08:12,182,12
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,G08,NA,2018-10-10T00:00:00Z,16:08:12,39,15
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,B09,NA,2018-10-10T00:00:00Z,11:36:23,190,2
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,C09,NA,2018-10-10T00:00:00Z,11:36:23,800,5
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,D09,NA,2018-10-10T00:00:00Z,11:36:23,316,7
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,E09,NA,2018-10-10T00:00:00Z,11:36:23,725,10
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,F09,NA,2018-10-10T00:00:00Z,11:36:23,858,12
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,G09,NA,2018-10-10T00:00:00Z,11:36:23,176,15
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,B09,NA,2018-10-10T00:00:00Z,16:08:12,12,2
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,C09,NA,2018-10-10T00:00:00Z,16:08:12,166,5
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,D09,NA,2018-10-10T00:00:00Z,16:08:12,51,7
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,E09,NA,2018-10-10T00:00:00Z,16:08:12,141,10
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,F09,NA,2018-10-10T00:00:00Z,16:08:12,165,12
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,G09,NA,2018-10-10T00:00:00Z,16:08:12,33,15
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,B10,NA,2018-10-10T00:00:00Z,11:36:23,361,3
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,C10,NA,2018-10-10T00:00:00Z,11:36:23,896,5
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,D10,NA,2018-10-10T00:00:00Z,11:36:23,939,8
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,E10,NA,2018-10-10T00:00:00Z,11:36:23,763,10
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,F10,NA,2018-10-10T00:00:00Z,11:36:23,547,13
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,G10,NA,2018-10-10T00:00:00Z,11:36:23,159,15
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,B10,NA,2018-10-10T00:00:00Z,16:08:12,23,3
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,C10,NA,2018-10-10T00:00:00Z,16:08:12,153,5
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,D10,NA,2018-10-10T00:00:00Z,16:08:12,185,8
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,E10,NA,2018-10-10T00:00:00Z,16:08:12,141,10
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,F10,NA,2018-10-10T00:00:00Z,16:08:12,27,13
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,G10,NA,2018-10-10T00:00:00Z,16:08:12,33,15
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,B11,NA,2018-10-10T00:00:00Z,11:36:23,329,3
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,C11,NA,2018-10-10T00:00:00Z,11:36:23,757,5
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,D11,NA,2018-10-10T00:00:00Z,11:36:23,936,8
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,E11,NA,2018-10-10T00:00:00Z,11:36:23,696,10
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,F11,NA,2018-10-10T00:00:00Z,11:36:23,586,13
data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,data-raw/globe-chlamy-RFU/globe-setup-2018-10-10,G11,NA,2018-10-10T00:00:00Z,11:36:23,153,15
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,B11,NA,2018-10-10T00:00:00Z,16:08:12,24,3
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,C11,NA,2018-10-10T00:00:00Z,16:08:12,152,5
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,D11,NA,2018-10-10T00:00:00Z,16:08:12,181,8
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,E11,NA,2018-10-10T00:00:00Z,16:08:12,134,10
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,F11,NA,2018-10-10T00:00:00Z,16:08:12,27,13
data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,data-raw/globe-chlamy-RFU/globe-setupb-2018-10-10,G11,NA,2018-10-10T00:00:00Z,16:08:12,32,15
