plate,well,type,n,unique_id,replicate,colour,x,Population,Ancestor_ID,Treatment,Note
10,A03,algae,4,NA,NA,NA,NA,NA,NA,NA,NA
10,A04,algae,8,NA,NA,NA,NA,NA,NA,NA,NA
10,B02,algae,15645,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
10,B03,algae,8847,B03_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
10,B04,algae,5,B04_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
10,B05,algae,10780,B05_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
10,B06,algae,97,B06_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA
10,B07,algae,571,B07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
10,B08,algae,558,B08_11_Anc 4_N,NA,yx,x,11,Anc 4,N,NA
10,B09,algae,6932,B09_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
10,B10,algae,13,B10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
10,B11,algae,9409,B11_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
10,C02,algae,4522,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
10,C03,algae,5315,C03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
10,C04,algae,168,C04_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA
10,C05,algae,1205,C05_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
10,C07,algae,1253,C07_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
10,C08,algae,268,C08_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
10,C09,algae,3,C09_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
10,C10,algae,2048,C10_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
10,C11,algae,6,C11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
10,D02,algae,7997,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
10,D03,algae,16861,D03_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
10,D04,algae,11,D04_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
10,D05,algae,858,D05_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
10,D06,algae,501,D06_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
10,D07,algae,141,D07_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
10,D08,algae,1,D08_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
10,D09,algae,1993,D09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
10,D10,algae,1431,D10_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
10,D11,algae,405,D11_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
10,E02,algae,7542,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
10,E03,algae,304,E03_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
10,E04,algae,4370,E04_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
10,E05,algae,693,E05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
10,E06,algae,3659,E06_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
10,E07,algae,854,E07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
10,E08,algae,1243,E08_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
10,E09,algae,8659,E09_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
10,E10,algae,1470,E10_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
10,E11,algae,1,E11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
10,F02,algae,1914,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
10,F03,algae,1,F03_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
10,F04,algae,2692,F04_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
10,F05,algae,7072,F05_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
10,F06,algae,6860,F06_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
10,F07,algae,442,F07_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
10,F08,algae,14600,F08_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
10,F09,algae,169,F09_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
10,F10,algae,6579,F10_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
10,F11,algae,1455,F11_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
10,G02,algae,1355,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
10,G03,algae,5233,G03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
10,G04,algae,7132,G04_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
10,G05,algae,2355,G05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
10,G06,algae,3193,G06_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
10,G07,algae,6,G07_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
10,G08,algae,1949,G08_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
10,G09,algae,2391,G09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
10,G10,algae,8,G10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
10,G11,algae,1754,G11_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
13,A03,algae,9,NA,NA,NA,NA,NA,NA,NA,NA
13,A04,algae,2,NA,NA,NA,NA,NA,NA,NA,NA
13,B02,algae,1788,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
13,B03,algae,80,B03_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
13,B05,algae,1609,B05_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
13,B06,algae,4,B06_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA
13,B07,algae,912,B07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
13,B08,algae,20,B08_11_Anc 4_N,NA,yx,x,11,Anc 4,N,NA
13,B09,algae,928,B09_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
13,B10,algae,2,B10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
13,B11,algae,183,B11_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
13,C02,algae,1587,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
13,C03,algae,1451,C03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
13,C04,algae,4,C04_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA
13,C05,algae,18,C05_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
13,C06,algae,3,C06_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
13,C07,algae,11,C07_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
13,C08,algae,7,C08_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
13,C09,algae,43,C09_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
13,C10,algae,13,C10_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
13,C11,algae,2,C11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
13,D02,algae,218,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
13,D03,algae,1452,D03_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
13,D04,algae,1,D04_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
13,D05,algae,12,D05_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
13,D06,algae,5,D06_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
13,D07,algae,3,D07_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
13,D08,algae,1,D08_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
13,D09,algae,3,D09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
13,D10,algae,11,D10_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
13,D11,algae,7,D11_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
13,E02,algae,1050,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
13,E03,algae,5,E03_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
13,E04,algae,1285,E04_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
13,E05,algae,4,E05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
13,E06,algae,16,E06_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
13,E07,algae,198,E07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
13,E08,algae,8,E08_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
13,E09,algae,1439,E09_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
13,E10,algae,13,E10_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
13,E11,algae,1,E11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
13,F02,algae,71,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
13,F03,algae,3,F03_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
13,F04,algae,20,F04_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
13,F05,algae,108,F05_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
13,F06,algae,984,F06_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
13,F07,algae,1,F07_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
13,F08,algae,990,F08_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
13,F09,algae,8,F09_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
13,F10,algae,210,F10_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
13,F11,algae,36,F11_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
13,G02,algae,42,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
13,G03,algae,1089,G03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
13,G04,algae,121,G04_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
13,G05,algae,11,G05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
13,G06,algae,40,G06_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
13,G07,algae,5,G07_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
13,G08,algae,14,G08_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
13,G09,algae,11,G09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
13,G10,algae,5,G10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
13,G11,algae,29,G11_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
14,A03,algae,1,NA,NA,NA,NA,NA,NA,NA,NA
14,A04,algae,2,NA,NA,NA,NA,NA,NA,NA,NA
14,B02,algae,15236,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
14,B03,algae,11552,B03_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
14,B04,algae,2,B04_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
14,B05,algae,12252,B05_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
14,B06,algae,262,B06_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA
14,B07,algae,7881,B07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
14,B08,algae,883,B08_11_Anc 4_N,NA,yx,x,11,Anc 4,N,NA
14,B09,algae,10399,B09_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
14,B10,algae,3,B10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
14,B11,algae,13362,B11_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
14,C02,algae,11287,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
14,C03,algae,10349,C03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
14,C04,algae,478,C04_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA
14,C05,algae,2337,C05_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
14,C06,algae,2,C06_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
14,C07,algae,2065,C07_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
14,C08,algae,524,C08_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
14,C09,algae,4,C09_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
14,C10,algae,662,C10_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
14,C11,algae,2,C11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
14,D02,algae,10762,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
14,D03,algae,21044,D03_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
14,D04,algae,2,D04_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
14,D05,algae,1037,D05_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
14,D06,algae,1355,D06_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
14,D07,algae,924,D07_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
14,D09,algae,1212,D09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
14,D10,algae,1538,D10_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
14,D11,algae,712,D11_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
14,E02,algae,10040,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
14,E03,algae,1400,E03_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
14,E04,algae,15371,E04_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
14,E05,algae,1691,E05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
14,E06,algae,6335,E06_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
14,E07,algae,6000,E07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
14,E08,algae,1489,E08_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
14,E09,algae,18058,E09_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
14,E10,algae,1287,E10_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
14,E11,algae,3,E11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
14,F02,algae,3065,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
14,F03,algae,1,F03_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
14,F04,algae,2003,F04_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
14,F05,algae,9188,F05_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
14,F06,algae,11661,F06_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
14,F07,algae,839,F07_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
14,F08,algae,16726,F08_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
14,F09,algae,723,F09_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
14,F10,algae,11739,F10_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
14,F11,algae,1118,F11_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
14,G02,algae,1839,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
14,G03,algae,8709,G03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
14,G04,algae,7836,G04_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
14,G05,algae,2350,G05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
14,G06,algae,2746,G06_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
14,G07,algae,5,G07_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
14,G08,algae,1737,G08_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
14,G09,algae,1601,G09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
14,G10,algae,2,G10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
14,G11,algae,1553,G11_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
25,A02,algae,1,NA,NA,NA,NA,NA,NA,NA,NA
25,A03,algae,5,NA,NA,NA,NA,NA,NA,NA,NA
25,B02,algae,27,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
25,B03,algae,11,B03_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
25,B05,algae,9,B05_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
25,B06,algae,1,B06_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA
25,B07,algae,1,B07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
25,B08,algae,1,B08_11_Anc 4_N,NA,yx,x,11,Anc 4,N,NA
25,B09,algae,10,B09_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
25,B10,algae,3,B10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
25,B11,algae,10,B11_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
25,C02,algae,7,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
25,C03,algae,6,C03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
25,C05,algae,1,C05_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
25,C07,algae,1,C07_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
25,C08,algae,1,C08_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
25,C10,algae,1,C10_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
25,D02,algae,11,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
25,D03,algae,20,D03_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
25,D05,algae,5,D05_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
25,D06,algae,1,D06_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
25,D07,algae,3,D07_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
25,D08,algae,2,D08_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
25,D09,algae,1,D09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
25,D10,algae,2,D10_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
25,D11,algae,1,D11_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
25,E02,algae,14,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
25,E04,algae,18,E04_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
25,E05,algae,1,E05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
25,E06,algae,19,E06_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
25,E07,algae,15,E07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
25,E08,algae,3,E08_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
25,E09,algae,21,E09_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
25,E10,algae,5,E10_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
25,E11,algae,1,E11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
25,F02,algae,2,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
25,F03,algae,1,F03_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
25,F04,algae,3,F04_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
25,F05,algae,8,F05_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
25,F06,algae,26,F06_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
25,F08,algae,19,F08_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
25,F10,algae,17,F10_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
25,F11,algae,1,F11_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
25,G02,algae,7,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
25,G03,algae,15,G03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
25,G04,algae,13,G04_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
25,G05,algae,4,G05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
25,G06,algae,3,G06_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
25,G07,algae,1,G07_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
25,G08,algae,3,G08_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
25,G09,algae,4,G09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
25,G10,algae,6,G10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
25,G11,algae,5,G11_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
5,A03,algae,4,NA,NA,NA,NA,NA,NA,NA,NA
5,A04,algae,1,NA,NA,NA,NA,NA,NA,NA,NA
5,A05,algae,11,NA,NA,NA,NA,NA,NA,NA,NA
