plate,well,subflow.peaks.cluster,n
1,A04,1,2
1,B02,1,1141
1,B03,1,265
1,B05,1,634
1,B06,1,10
1,B07,1,425
1,B08,1,27
1,B09,1,916
1,B10,1,3
1,B11,1,387
1,C02,1,2249
1,C03,1,1760
1,C04,1,14
1,C05,1,69
1,C07,1,81
1,C08,1,15
1,C10,1,75
1,C11,1,1
1,D02,1,475
1,D03,1,2142
1,D05,1,31
1,D06,1,62
1,D07,1,17
1,D09,1,61
1,D10,1,242
1,D11,1,67
1,E02,1,3037
1,E03,1,45
1,E04,1,1897
1,E05,1,43
1,E06,1,140
1,E07,1,648
1,E08,1,77
1,E09,1,1864
1,E10,1,137
1,F02,1,293
1,F04,1,91
1,F05,1,332
1,F06,1,1142
1,F07,1,16
1,F08,1,1672
1,F09,1,25
1,F10,1,281
1,F11,1,131
1,G02,1,167
1,G03,1,2784
1,G04,1,476
1,G05,1,108
1,G06,1,156
1,G08,1,73
1,G09,1,105
1,G10,1,1
1,G11,1,191
2,B02,1,660
2,B03,1,36
2,B05,1,229
2,B06,1,3
2,B07,1,814
2,B08,1,3
2,B09,1,1921
2,B10,1,1
2,B11,1,32
2,C02,1,2212
2,C03,1,1589
2,C04,1,7
2,C05,1,15
2,C06,1,1
2,C07,1,25
2,C08,1,10
2,C10,1,7
2,C11,1,1
2,D02,1,162
2,D03,1,1148
2,D05,1,3
2,D06,1,3
2,D07,1,4
2,D09,1,7
2,D10,1,36
2,D11,1,4
2,E02,1,149
2,E03,1,12
2,E04,1,898
2,E05,1,3
2,E06,1,7
2,E07,1,1466
2,E08,1,15
2,E09,1,1162
2,E10,1,9
2,F02,1,54
2,F04,1,20
2,F05,1,49
2,F06,1,516
2,F07,1,5
2,F08,1,564
2,F09,1,8
2,F10,1,74
2,F11,1,10
2,G02,1,18
2,G03,1,1737
2,G04,1,146
2,G05,1,10
2,G06,1,21
2,G08,1,10
2,G09,1,8
2,G11,1,44
5,A03,1,2
5,A05,1,8
5,B02,1,8811
5,B03,1,4390
5,B04,1,11
5,B05,1,13969
5,B06,1,279
5,B07,1,4989
5,B08,1,383
5,B09,1,5044
5,B10,1,28
5,B11,1,4858
5,C02,1,8269
5,C03,1,7891
5,C04,1,338
5,C05,1,352
5,C06,1,4
5,C07,1,335
5,C08,1,180
5,C09,1,1
5,C10,1,980
5,C11,1,4
5,D02,1,6209
5,D03,1,12440
5,D04,1,41
5,D05,1,561
5,D06,1,390
5,D07,1,306
5,D08,1,1
5,D09,1,1059
5,D10,1,825
5,D11,1,332
5,E02,1,7272
5,E03,1,274
5,E04,1,10210
5,E05,1,1154
5,E06,1,3822
5,E07,1,1169
5,E08,1,718
5,E09,1,12240
5,E10,1,423
5,E11,1,2
5,F02,1,1181
5,F03,1,2
5,F04,1,630
5,F05,1,5421
5,F06,1,7084
5,F07,1,186
5,F08,1,13271
5,F09,1,235
5,F10,1,5191
5,F11,1,931
5,G02,1,23922
5,G03,1,6726
5,G04,1,4864
5,G05,1,1019
5,G06,1,764
5,G07,1,14
5,G08,1,314
5,G09,1,913
5,G10,1,4
5,G11,1,1016
6,A03,1,1
6,B02,1,15982
6,B03,1,7237
6,B05,1,11275
6,B06,1,553
6,B07,1,2668
6,B08,1,1103
6,B09,1,13984
6,B10,1,59
6,B11,1,14464
6,C02,1,7207
6,C03,1,6437
6,C04,1,220
6,C05,1,1241
6,C06,1,4
6,C07,1,1161
6,C08,1,791
6,C09,1,3
6,C10,1,1079
6,C11,1,5
6,D02,1,10221
6,D03,1,18368
6,D04,1,109
6,D05,1,992
6,D06,1,725
6,D07,1,396
6,D08,1,1
6,D09,1,2074
6,D10,1,3337
6,D11,1,447
6,E02,1,11587
6,E03,1,788
6,E04,1,10624
6,E05,1,1278
6,E06,1,4995
6,E07,1,1790
6,E08,1,2024
6,E09,1,12578
6,E10,1,2341
6,E11,1,41
6,F02,1,2556
6,F03,1,3
6,F04,1,1886
6,F05,1,10061
6,F06,1,10068
6,F07,1,662
6,F08,1,11626
6,F09,1,1049
6,F10,1,14069
6,F11,1,727
6,G02,1,2051
6,G03,1,10429
6,G04,1,12670
6,G05,1,3421
6,G06,1,3738
6,G07,1,2
6,G08,1,1287
6,G09,1,2297
6,G10,1,1
6,G11,1,3176
7,B02,1,9115
7,B03,1,2143
7,B04,1,6
7,B05,1,5583
7,B06,1,70
7,B07,1,4628
7,B08,1,286
7,B09,1,6047
7,B10,1,99
7,B11,1,2363
7,C02,1,3892
7,C03,1,5008
7,C04,1,49
7,C05,1,4533
7,C06,1,17
7,C07,1,5194
7,C08,1,70
7,C09,1,2
7,C10,1,365
7,C11,1,1
7,D02,1,1251
7,D03,1,10970
7,D04,1,27
7,D05,1,39
7,D06,1,22
7,D07,1,49
7,D08,1,3
7,D09,1,153
7,D10,1,3946
7,D11,1,87
7,E02,1,4780
7,E03,1,54
7,E04,1,11768
7,E05,1,169
7,E06,1,1346
7,E07,1,3482
7,E08,1,2604
7,E09,1,13883
7,E10,1,295
7,E11,1,8
7,F02,1,4481
7,F03,1,10
7,F04,1,88
7,F05,1,1474
7,F06,1,10346
7,F07,1,93
7,F08,1,10159
7,F09,1,59
7,F10,1,2155
7,F11,1,129
7,G02,1,53
7,G03,1,5290
7,G04,1,1382
7,G05,1,116
7,G06,1,3723
7,G07,1,3
7,G08,1,52
7,G09,1,122
7,G10,1,1
7,G11,1,3435
9,B02,1,14435
9,B03,1,4752
9,B05,1,8658
9,B06,1,131
9,B07,1,805
9,B08,1,467
9,B09,1,4133
9,B11,1,4688
9,C02,1,4431
9,C03,1,4734
9,C04,1,227
9,C05,1,654
9,C06,1,1
9,C07,1,824
9,C08,1,342
9,C10,1,851
9,D02,1,6573
9,D03,1,12966
9,D04,1,3
9,D05,1,201
9,D06,1,324
9,D07,1,176
9,D09,1,607
9,D10,1,515
9,D11,1,263
9,E02,1,3913
9,E03,1,237
9,E04,1,12152
9,E05,1,624
9,E06,1,2689
9,E07,1,1439
9,E08,1,455
9,E09,1,15786
9,E10,1,422
9,E11,1,1
9,F02,1,804
9,F04,1,460
9,F05,1,6895
9,F06,1,7769
9,F07,1,82
9,F08,1,12944
9,F09,1,164
9,F10,1,5654
9,F11,1,917
9,G02,1,618
9,G03,1,2963
9,G04,1,4782
9,G05,1,447
9,G06,1,687
9,G08,1,518
9,G09,1,478
9,G10,1,1
9,G11,1,1058
10,B02,1,15565
10,B03,1,8799
10,B04,1,1
10,B05,1,10731
10,B06,1,97
10,B07,1,566
10,B08,1,558
10,B09,1,6902
10,B10,1,12
10,B11,1,9359
10,C02,1,4502
10,C03,1,5299
10,C04,1,168
10,C05,1,1203
10,C07,1,1250
10,C08,1,266
10,C09,1,1
10,C10,1,2046
10,C11,1,6
10,D02,1,7962
10,D03,1,16796
10,D04,1,2
10,D05,1,851
10,D06,1,495
10,D07,1,141
10,D09,1,1983
10,D10,1,1428
10,D11,1,403
10,E02,1,7515
10,E03,1,302
10,E04,1,4355
10,E05,1,688
10,E06,1,3642
10,E07,1,850
10,E08,1,1236
10,E09,1,8617
10,E10,1,1470
10,E11,1,1
10,F02,1,1906
10,F04,1,2684
10,F05,1,7041
10,F06,1,6834
10,F07,1,436
10,F08,1,14559
10,F09,1,169
10,F10,1,6550
10,F11,1,1455
10,G02,1,1349
10,G03,1,5207
10,G04,1,7111
10,G05,1,2349
10,G06,1,3185
10,G07,1,3
10,G08,1,1937
10,G09,1,2380
10,G10,1,5
10,G11,1,1747
13,A03,1,6
13,A04,1,1
13,B02,1,1767
13,B03,1,78
13,B05,1,1594
13,B06,1,4
13,B07,1,907
13,B08,1,20
13,B09,1,922
13,B11,1,180
13,C02,1,1576
13,C03,1,1446
13,C04,1,3
13,C05,1,18
13,C07,1,10
13,C08,1,7
13,C09,1,9
13,C10,1,10
13,D02,1,217
13,D03,1,1443
13,D04,1,1
13,D05,1,12
13,D06,1,4
13,D07,1,3
13,D09,1,1
13,D10,1,11
13,D11,1,7
13,E02,1,1047
13,E03,1,5
13,E04,1,1277
13,E05,1,3
13,E06,1,16
13,E07,1,197
13,E08,1,8
13,E09,1,1430
13,E10,1,13
13,F02,1,71
13,F04,1,15
13,F05,1,90
13,F06,1,979
13,F07,1,1
13,F08,1,978
13,F09,1,8
13,F10,1,209
13,F11,1,36
13,G02,1,40
13,G03,1,1084
13,G04,1,119
13,G05,1,11
13,G06,1,38
13,G08,1,14
13,G09,1,11
13,G10,1,1
13,G11,1,28
14,B02,1,15165
14,B03,1,11494
14,B04,1,1
14,B05,1,12166
14,B06,1,261
14,B07,1,7848
14,B08,1,877
14,B09,1,10347
14,B11,1,13302
14,C02,1,11218
14,C03,1,10289
14,C04,1,473
14,C05,1,2326
14,C06,1,1
14,C07,1,2052
14,C08,1,513
14,C09,1,1
14,C10,1,660
14,C11,1,1
14,D02,1,10712
14,D03,1,20954
14,D05,1,1032
14,D06,1,1347
14,D07,1,918
14,D09,1,1208
14,D10,1,1531
14,D11,1,708
14,E02,1,9999
14,E03,1,1389
14,E04,1,15307
14,E05,1,1683
14,E06,1,6298
14,E07,1,5964
14,E08,1,1483
14,E09,1,17970
14,E10,1,1278
14,E11,1,3
14,F02,1,3056
14,F04,1,1997
14,F05,1,9142
14,F06,1,11594
14,F07,1,837
14,F08,1,16654
14,F09,1,722
14,F10,1,11682
14,F11,1,1115
14,G02,1,1833
14,G03,1,8671
14,G04,1,7798
14,G05,1,2345
14,G06,1,2731
14,G07,1,4
14,G08,1,1726
14,G09,1,1597
14,G11,1,1546
25,B02,1,14
25,B03,1,2
25,B05,1,4
25,B07,1,1
25,B08,1,1
25,B09,1,10
25,B11,1,1
25,C02,1,7
25,C03,1,6
25,C08,1,1
25,C10,1,1
25,D03,1,13
25,D05,1,1
25,D07,1,2
25,D09,1,1
25,D10,1,1
25,D11,1,1
25,E02,1,14
25,E04,1,12
25,E05,1,1
25,E07,1,15
25,E08,1,1
25,E09,1,9
25,E10,1,5
25,E11,1,1
25,F02,1,2
25,F04,1,3
25,F05,1,1
25,F06,1,15
25,F08,1,8
25,F10,1,2
25,F11,1,1
25,G02,1,6
25,G03,1,15
25,G05,1,4
25,G06,1,3
25,G08,1,3
25,G09,1,2
25,G10,1,1
25,G11,1,4
